The sum of 2045 and 3145 is ,5190
The sum of 1074 and 3837 is ,4911
The sum of 2198 and 2876 is ,5074
The sum of 2038 and 3284 is ,5322
The sum of 1888 and 1449 is ,3337
The sum of 2270 and 4536 is ,6806
The sum of 1698 and 4694 is ,6392
The sum of 1760 and 3818 is ,5578
The sum of 2060 and 2803 is ,4863
The sum of 2167 and 2699 is ,4866
The sum of 2844 and 2505 is ,5349
The sum of 1388 and 4423 is ,5811
The sum of 1574 and 2128 is ,3702
The sum of 3701 and 4122 is ,7823
The sum of 4364 and 3874 is ,8238
The sum of 3114 and 4684 is ,7798
The sum of 2679 and 2637 is ,5316
The sum of 3736 and 3171 is ,6907
The sum of 4369 and 2655 is ,7024
The sum of 2288 and 2671 is ,4959
The sum of 4541 and 1494 is ,6035
The sum of 2567 and 1727 is ,4294
The sum of 2925 and 4509 is ,7434
The sum of 4225 and 2027 is ,6252
The sum of 1892 and 3395 is ,5287
The sum of 1230 and 4619 is ,5849
The sum of 2334 and 3019 is ,5353
The sum of 4341 and 4480 is ,8821
The sum of 4891 and 3774 is ,8665
The sum of 2130 and 2380 is ,4510
The sum of 4903 and 1508 is ,6411
The sum of 3038 and 1855 is ,4893
The sum of 2303 and 1095 is ,3398
The sum of 3556 and 4445 is ,8001
The sum of 1039 and 1812 is ,2851
The sum of 1156 and 2495 is ,3651
The sum of 3902 and 3518 is ,7420
The sum of 2432 and 1373 is ,3805
The sum of 4768 and 3507 is ,8275
The sum of 2132 and 1302 is ,3434
The sum of 1992 and 3620 is ,5612
The sum of 4305 and 3576 is ,7881
The sum of 4643 and 1130 is ,5773
The sum of 3442 and 4924 is ,8366
The sum of 3259 and 4816 is ,8075
The sum of 4387 and 2365 is ,6752
The sum of 2060 and 4629 is ,6689
The sum of 2632 and 1280 is ,3912
The sum of 2711 and 4036 is ,6747
The sum of 1113 and 4493 is ,5606
The sum of 3016 and 1724 is ,4740
The sum of 4025 and 1301 is ,5326
The sum of 4704 and 3763 is ,8467
The sum of 1580 and 2430 is ,4010
The sum of 1843 and 2648 is ,4491
The sum of 4668 and 1644 is ,6312
The sum of 3199 and 1996 is ,5195
The sum of 4528 and 3059 is ,7587
The sum of 1537 and 1999 is ,3536
The sum of 4855 and 2325 is ,7180
The sum of 1350 and 2072 is ,3422
The sum of 1557 and 1285 is ,2842
The sum of 2971 and 3273 is ,6244
The sum of 1320 and 1436 is ,2756
The sum of 3243 and 2870 is ,6113
The sum of 1524 and 3961 is ,5485
The sum of 3870 and 1132 is ,5002
The sum of 4828 and 2657 is ,7485
The sum of 1670 and 1476 is ,3146
The sum of 4805 and 3396 is ,8201
The sum of 4673 and 4120 is ,8793
The sum of 4201 and 1342 is ,5543
The sum of 2071 and 1377 is ,3448
The sum of 3363 and 3771 is ,7134
The sum of 2448 and 1261 is ,3709
The sum of 1112 and 2657 is ,3769
The sum of 1836 and 4778 is ,6614
The sum of 3914 and 3849 is ,7763
The sum of 2089 and 3303 is ,5392
The sum of 3881 and 3965 is ,7846
The sum of 3130 and 2924 is ,6054
The sum of 3438 and 3955 is ,7393
The sum of 1098 and 1189 is ,2287
The sum of 2062 and 1035 is ,3097
The sum of 3419 and 2955 is ,6374
The sum of 3034 and 4371 is ,7405
The sum of 1955 and 1399 is ,3354
The sum of 1289 and 4173 is ,5462
The sum of 3698 and 2084 is ,5782
The sum of 4131 and 4323 is ,8454
The sum of 2566 and 1344 is ,3910
