The sum of 875 and 2<extra_id_0>1 is 1096,2
The sum of 3<extra_id_0>3 and 27 is 360,3
The sum of <extra_id_0>55 and 728 is 1583,8
The sum of <extra_id_0>35 and 514 is 1249,7
The sum of 9<extra_id_0>7 and 728 is 1655,2
The sum of 310 and 9<extra_id_0>9 is 1219,0
The sum of <extra_id_0>55 and 63 is 1018,9
The sum of 271 and <extra_id_0>40 is 511,2
The sum of 688 and <extra_id_0>25 is 1613,9
The sum of <extra_id_0>66 and 474 is 1040,5
The sum of <extra_id_0>24 and 737 is 1161,4
The sum of 450 and <extra_id_0>37 is 1087,6
The sum of 122 and <extra_id_0>26 is 248,1
The sum of <extra_id_0>58 and 618 is 776,1
The sum of <extra_id_0>14 and 227 is 541,3
The sum of <extra_id_0>05 and 195 is 500,3
The sum of 443 and <extra_id_0>51 is 1394,9
The sum of <extra_id_0>19 and 643 is 1262,6
The sum of <extra_id_0>33 and 343 is 676,3
The sum of 86 and <extra_id_0>53 is 839,7
The sum of <extra_id_0>94 and 914 is 1408,4
The sum of 707 and <extra_id_0>93 is 1100,3
The sum of 3<extra_id_0>8 and 191 is 499,0
The sum of <extra_id_0>75 and 34 is 409,3
The sum of 827 and <extra_id_0>07 is 1234,4
The sum of 51 and 8<extra_id_0>4 is 885,3
The sum of <extra_id_0>4 and 670 is 684,1
The sum of 506 and <extra_id_0>91 is 1497,9
The sum of 3<extra_id_0>4 and 811 is 1195,8
The sum of 211 and 7<extra_id_0>8 is 949,3
The sum of <extra_id_0>8 and 551 is 589,3
The sum of 3<extra_id_0>6 and 741 is 1107,6
The sum of 2<extra_id_0>7 and 540 is 827,8
The sum of 9<extra_id_0>2 and 75 is 977,0
The sum of 96 and 3<extra_id_0>6 is 472,7
The sum of 6<extra_id_0>5 and 263 is 868,0
The sum of <extra_id_0>8 and 398 is 496,9
The sum of <extra_id_0>76 and 105 is 881,7
The sum of <extra_id_0>79 and 506 is 1285,7
The sum of <extra_id_0>34 and 299 is 633,3
The sum of 9<extra_id_0>9 and 125 is 1044,1
The sum of 725 and 9<extra_id_0>4 is 1649,2
The sum of 130 and 9<extra_id_0>0 is 1040,1
The sum of 966 and <extra_id_0>44 is 1810,8
The sum of 4<extra_id_0>2 and 660 is 1092,3
The sum of 3<extra_id_0>8 and 431 is 769,3
The sum of 6<extra_id_0>2 and 974 is 1606,3
The sum of 860 and 4<extra_id_0>1 is 1291,3
The sum of 1<extra_id_0>0 and 73 is 233,6
The sum of 12 and <extra_id_0>74 is 986,9
The sum of 322 and <extra_id_0>89 is 911,5
The sum of 753 and 9<extra_id_0>7 is 1740,8
The sum of <extra_id_0>42 and 107 is 749,6
The sum of <extra_id_0>04 and 896 is 1200,3
The sum of 7<extra_id_0>9 and 9 is 768,5
The sum of 431 and 8<extra_id_0>3 is 1324,9
The sum of 2<extra_id_0>4 and 749 is 963,1
The sum of 427 and <extra_id_0>64 is 1191,7
The sum of <extra_id_0>61 and 116 is 777,6
The sum of 595 and <extra_id_0>37 is 1532,9
The sum of 618 and <extra_id_0>11 is 1229,6
The sum of <extra_id_0>50 and 914 is 1264,3
The sum of 643 and 6<extra_id_0>1 is 1294,5
The sum of 929 and 3<extra_id_0>2 is 1321,9
The sum of <extra_id_0>3 and 894 is 967,7
The sum of 208 and 3<extra_id_0>0 is 588,8
The sum of <extra_id_0>8 and 740 is 788,4
The sum of 498 and <extra_id_0>2 is 520,2
The sum of 171 and <extra_id_0>28 is 599,4
The sum of 8 and 5<extra_id_0>4 is 582,7
The sum of 9<extra_id_0>4 and 987 is 1931,4
The sum of <extra_id_0>65 and 645 is 1210,5
