The sum of 4141 and 3502 is ,7643
The sum of 3006 and 3208 is ,6214
The sum of 1210 and 2456 is ,3666
The sum of 2550 and 4878 is ,7428
The sum of 3871 and 1977 is ,5848
The sum of 1240 and 2982 is ,4222
The sum of 4369 and 2279 is ,6648
The sum of 1147 and 2324 is ,3471
The sum of 1593 and 2972 is ,4565
The sum of 2742 and 4713 is ,7455
The sum of 3196 and 2683 is ,5879
The sum of 2692 and 4422 is ,7114
The sum of 1226 and 2065 is ,3291
The sum of 2905 and 4953 is ,7858
The sum of 3642 and 1826 is ,5468
The sum of 3745 and 1075 is ,4820
The sum of 4758 and 4082 is ,8840
The sum of 4953 and 2069 is ,7022
The sum of 4617 and 1129 is ,5746
The sum of 3952 and 1818 is ,5770
The sum of 4874 and 1276 is ,6150
The sum of 1424 and 4127 is ,5551
The sum of 1152 and 2563 is ,3715
The sum of 4471 and 4445 is ,8916
The sum of 2485 and 1910 is ,4395
The sum of 3687 and 1240 is ,4927
The sum of 4644 and 1730 is ,6374
The sum of 3648 and 3092 is ,6740
The sum of 4214 and 3267 is ,7481
The sum of 4032 and 1821 is ,5853
The sum of 3123 and 3177 is ,6300
The sum of 4153 and 2162 is ,6315
The sum of 4229 and 1786 is ,6015
The sum of 4989 and 1541 is ,6530
The sum of 4293 and 4943 is ,9236
The sum of 4026 and 3745 is ,7771
The sum of 1931 and 1039 is ,2970
The sum of 4418 and 3361 is ,7779
The sum of 3051 and 3290 is ,6341
The sum of 4240 and 1907 is ,6147
The sum of 4048 and 2017 is ,6065
The sum of 1868 and 4122 is ,5990
The sum of 4244 and 2409 is ,6653
The sum of 1428 and 1686 is ,3114
The sum of 4765 and 1441 is ,6206
The sum of 4400 and 4818 is ,9218
The sum of 3042 and 2622 is ,5664
The sum of 3416 and 1859 is ,5275
The sum of 1755 and 4004 is ,5759
The sum of 4923 and 4855 is ,9778
The sum of 1384 and 3126 is ,4510
The sum of 1763 and 1011 is ,2774
The sum of 1208 and 3504 is ,4712
The sum of 2823 and 1269 is ,4092
The sum of 4049 and 4816 is ,8865
The sum of 3552 and 2251 is ,5803
The sum of 1782 and 1355 is ,3137
The sum of 2704 and 1759 is ,4463
The sum of 3741 and 3273 is ,7014
The sum of 2312 and 4558 is ,6870
The sum of 4720 and 4697 is ,9417
The sum of 4089 and 2122 is ,6211
The sum of 4578 and 4123 is ,8701
The sum of 4048 and 4693 is ,8741
The sum of 3012 and 2280 is ,5292
The sum of 1491 and 4243 is ,5734
The sum of 3924 and 2644 is ,6568
The sum of 2418 and 3244 is ,5662
The sum of 2191 and 3348 is ,5539
The sum of 2910 and 4447 is ,7357
The sum of 1350 and 2369 is ,3719
The sum of 1899 and 4295 is ,6194
The sum of 2798 and 2076 is ,4874
The sum of 3156 and 1284 is ,4440
The sum of 1862 and 1558 is ,3420
The sum of 1257 and 2394 is ,3651
The sum of 1905 and 2459 is ,4364
The sum of 1550 and 1825 is ,3375
The sum of 4509 and 1016 is ,5525
The sum of 1209 and 4725 is ,5934
The sum of 2418 and 3038 is ,5456
The sum of 3482 and 3817 is ,7299
The sum of 1754 and 1099 is ,2853
The sum of 3035 and 3104 is ,6139
The sum of 1190 and 4601 is ,5791
The sum of 4535 and 1850 is ,6385
The sum of 1426 and 4589 is ,6015
The sum of 1768 and 1176 is ,2944
The sum of 4557 and 1825 is ,6382
The sum of 1190 and 2400 is ,3590
The sum of 2901 and 1827 is ,4728
The sum of 1985 and 2811 is ,4796
The sum of 4809 and 2357 is ,7166
The sum of 4535 and 1153 is ,5688
The sum of 1317 and 3468 is ,4785
The sum of 1561 and 4236 is ,5797
The sum of 3203 and 2130 is ,5333
The sum of 1490 and 1804 is ,3294
The sum of 1830 and 2412 is ,4242
The sum of 4301 and 3611 is ,7912
The sum of 2916 and 2188 is ,5104
The sum of 2495 and 1288 is ,3783
The sum of 1389 and 4598 is ,5987
The sum of 2702 and 4322 is ,7024
The sum of 2167 and 3617 is ,5784
The sum of 1886 and 2194 is ,4080
The sum of 1826 and 4680 is ,6506
The sum of 1609 and 2519 is ,4128
The sum of 4609 and 2846 is ,7455
The sum of 1568 and 3454 is ,5022
The sum of 3661 and 4602 is ,8263
The sum of 1905 and 3569 is ,5474
The sum of 3080 and 2773 is ,5853
The sum of 4529 and 1858 is ,6387
The sum of 3440 and 3181 is ,6621
The sum of 3968 and 3041 is ,7009
The sum of 1958 and 4133 is ,6091
The sum of 1524 and 3869 is ,5393
The sum of 3565 and 4974 is ,8539
The sum of 1926 and 2069 is ,3995
The sum of 3135 and 4003 is ,7138
The sum of 2052 and 4897 is ,6949
The sum of 1803 and 3780 is ,5583
The sum of 3853 and 2903 is ,6756
The sum of 2424 and 1200 is ,3624
The sum of 2436 and 3971 is ,6407
The sum of 1188 and 1959 is ,3147
The sum of 4202 and 2782 is ,6984
The sum of 4667 and 4241 is ,8908
The sum of 3429 and 3093 is ,6522
The sum of 3008 and 4232 is ,7240
The sum of 3333 and 3619 is ,6952
The sum of 2269 and 4883 is ,7152
The sum of 2290 and 1861 is ,4151
The sum of 3046 and 1219 is ,4265
The sum of 3082 and 4130 is ,7212
The sum of 1111 and 1382 is ,2493
The sum of 1393 and 4400 is ,5793
The sum of 3804 and 1015 is ,4819
The sum of 3082 and 4296 is ,7378
The sum of 4237 and 1651 is ,5888
The sum of 3431 and 2917 is ,6348
The sum of 3381 and 1188 is ,4569
The sum of 3360 and 2681 is ,6041
The sum of 4753 and 4106 is ,8859
The sum of 1548 and 2570 is ,4118
The sum of 4934 and 2108 is ,7042
The sum of 2656 and 1780 is ,4436
The sum of 2260 and 1325 is ,3585
The sum of 1368 and 3353 is ,4721
The sum of 4912 and 4969 is ,9881
The sum of 1624 and 1803 is ,3427
The sum of 1185 and 2405 is ,3590
The sum of 3013 and 2680 is ,5693
The sum of 3692 and 4027 is ,7719
The sum of 3665 and 1538 is ,5203
The sum of 4371 and 3431 is ,7802
The sum of 4472 and 1952 is ,6424
The sum of 4114 and 1354 is ,5468
The sum of 3118 and 4645 is ,7763
The sum of 1048 and 4544 is ,5592
The sum of 1526 and 4851 is ,6377
The sum of 1233 and 1863 is ,3096
The sum of 4300 and 4805 is ,9105
The sum of 4264 and 2187 is ,6451
The sum of 3598 and 2089 is ,5687
The sum of 2007 and 4767 is ,6774
The sum of 3043 and 1255 is ,4298
The sum of 2828 and 1434 is ,4262
The sum of 2021 and 3040 is ,5061
The sum of 1454 and 4060 is ,5514
The sum of 3204 and 1932 is ,5136
The sum of 4903 and 2506 is ,7409
The sum of 1668 and 4826 is ,6494
The sum of 4552 and 3936 is ,8488
The sum of 1388 and 2981 is ,4369
The sum of 2100 and 3432 is ,5532
The sum of 4236 and 2387 is ,6623
The sum of 1952 and 4402 is ,6354
The sum of 1498 and 3189 is ,4687
The sum of 3874 and 1183 is ,5057
The sum of 4837 and 3751 is ,8588
The sum of 1759 and 4262 is ,6021
The sum of 3934 and 2105 is ,6039
The sum of 3213 and 3064 is ,6277
The sum of 2873 and 2155 is ,5028
The sum of 1904 and 4064 is ,5968
The sum of 2984 and 3228 is ,6212
The sum of 1763 and 3545 is ,5308
The sum of 2088 and 1878 is ,3966
The sum of 2137 and 2003 is ,4140
The sum of 3919 and 4614 is ,8533
The sum of 2999 and 1810 is ,4809
The sum of 4443 and 4987 is ,9430
The sum of 1627 and 3483 is ,5110
The sum of 3430 and 2867 is ,6297
The sum of 2305 and 1728 is ,4033
The sum of 3702 and 2422 is ,6124
The sum of 1711 and 4487 is ,6198
The sum of 2051 and 1973 is ,4024
The sum of 2981 and 1531 is ,4512
The sum of 2860 and 2422 is ,5282
The sum of 4243 and 4845 is ,9088
The sum of 2633 and 2953 is ,5586
The sum of 3104 and 4873 is ,7977
The sum of 1422 and 2531 is ,3953
The sum of 1561 and 3466 is ,5027
The sum of 2321 and 2111 is ,4432
The sum of 4972 and 3595 is ,8567
The sum of 2191 and 4314 is ,6505
The sum of 2107 and 4454 is ,6561
The sum of 4761 and 4644 is ,9405
The sum of 4071 and 2435 is ,6506
The sum of 3976 and 4901 is ,8877
The sum of 3096 and 4441 is ,7537
The sum of 1724 and 3382 is ,5106
The sum of 4831 and 4373 is ,9204
The sum of 4746 and 2033 is ,6779
The sum of 4791 and 2053 is ,6844
The sum of 4323 and 1705 is ,6028
The sum of 4363 and 4056 is ,8419
The sum of 1882 and 4271 is ,6153
The sum of 2266 and 2557 is ,4823
The sum of 4111 and 2535 is ,6646
The sum of 1331 and 3816 is ,5147
The sum of 2308 and 3091 is ,5399
The sum of 1199 and 2485 is ,3684
The sum of 3148 and 2435 is ,5583
The sum of 1922 and 2649 is ,4571
The sum of 1907 and 4159 is ,6066
The sum of 3452 and 2617 is ,6069
The sum of 2568 and 1015 is ,3583
The sum of 1835 and 3786 is ,5621
The sum of 2322 and 4528 is ,6850
The sum of 3567 and 3414 is ,6981
The sum of 2807 and 4692 is ,7499
The sum of 1662 and 4273 is ,5935
The sum of 3069 and 4415 is ,7484
The sum of 4591 and 2379 is ,6970
The sum of 3091 and 3039 is ,6130
The sum of 1563 and 1409 is ,2972
The sum of 4358 and 2726 is ,7084
The sum of 2281 and 3173 is ,5454
The sum of 1734 and 4098 is ,5832
The sum of 4833 and 4727 is ,9560
The sum of 3076 and 2046 is ,5122
The sum of 1184 and 1657 is ,2841
The sum of 1216 and 2946 is ,4162
The sum of 1926 and 2311 is ,4237
The sum of 1024 and 2883 is ,3907
The sum of 4446 and 4714 is ,9160
The sum of 3032 and 4305 is ,7337
The sum of 1516 and 4267 is ,5783
The sum of 3813 and 1685 is ,5498
The sum of 2419 and 4418 is ,6837
The sum of 2503 and 2035 is ,4538
The sum of 1535 and 4592 is ,6127
The sum of 3238 and 3148 is ,6386
The sum of 1498 and 2489 is ,3987
The sum of 3132 and 2240 is ,5372
The sum of 1101 and 1952 is ,3053
The sum of 2869 and 3521 is ,6390
The sum of 1537 and 1180 is ,2717
The sum of 3583 and 3090 is ,6673
The sum of 4560 and 3280 is ,7840
The sum of 4222 and 4883 is ,9105
The sum of 4155 and 1817 is ,5972
The sum of 4555 and 2767 is ,7322
The sum of 2327 and 4454 is ,6781
The sum of 4890 and 2003 is ,6893
The sum of 1239 and 1011 is ,2250
The sum of 3737 and 3152 is ,6889
The sum of 4074 and 4989 is ,9063
The sum of 1069 and 1357 is ,2426
The sum of 2281 and 4624 is ,6905
The sum of 4723 and 4686 is ,9409
The sum of 3508 and 2482 is ,5990
The sum of 3387 and 1144 is ,4531
The sum of 2191 and 3698 is ,5889
The sum of 1509 and 4873 is ,6382
The sum of 4525 and 2622 is ,7147
The sum of 1009 and 4034 is ,5043
The sum of 4771 and 4780 is ,9551
The sum of 4765 and 3730 is ,8495
The sum of 1823 and 3131 is ,4954
The sum of 4863 and 4477 is ,9340
The sum of 1989 and 2741 is ,4730
The sum of 2559 and 3753 is ,6312
The sum of 4932 and 4629 is ,9561
The sum of 4228 and 4436 is ,8664
The sum of 3731 and 2963 is ,6694
The sum of 3892 and 3578 is ,7470
The sum of 3241 and 2680 is ,5921
The sum of 2744 and 1882 is ,4626
The sum of 3810 and 2555 is ,6365
The sum of 1816 and 2026 is ,3842
The sum of 4853 and 1142 is ,5995
The sum of 1724 and 4306 is ,6030
The sum of 2069 and 2872 is ,4941
The sum of 1907 and 3433 is ,5340
The sum of 1080 and 4382 is ,5462
The sum of 4370 and 3696 is ,8066
The sum of 1693 and 3559 is ,5252
The sum of 2987 and 4295 is ,7282
The sum of 1491 and 4090 is ,5581
The sum of 1729 and 4706 is ,6435
The sum of 2479 and 2912 is ,5391
The sum of 2381 and 3996 is ,6377
The sum of 3386 and 1227 is ,4613
The sum of 1941 and 4003 is ,5944
The sum of 3260 and 3194 is ,6454
The sum of 4215 and 1786 is ,6001
The sum of 4994 and 1549 is ,6543
The sum of 4047 and 3461 is ,7508
The sum of 1823 and 1055 is ,2878
The sum of 2258 and 4358 is ,6616
The sum of 4333 and 4245 is ,8578
The sum of 4285 and 3601 is ,7886
The sum of 3400 and 3080 is ,6480
The sum of 4965 and 2839 is ,7804
The sum of 4145 and 4042 is ,8187
The sum of 2613 and 4802 is ,7415
The sum of 1299 and 1854 is ,3153
The sum of 3609 and 3889 is ,7498
The sum of 1457 and 4238 is ,5695
The sum of 2374 and 4168 is ,6542
The sum of 3988 and 2337 is ,6325
The sum of 4499 and 4592 is ,9091
The sum of 1771 and 3588 is ,5359
The sum of 1579 and 4783 is ,6362
The sum of 1920 and 1541 is ,3461
The sum of 2244 and 2154 is ,4398
The sum of 1512 and 3670 is ,5182
The sum of 4592 and 4574 is ,9166
The sum of 2910 and 3842 is ,6752
The sum of 4751 and 1675 is ,6426
The sum of 1834 and 3698 is ,5532
The sum of 1721 and 2045 is ,3766
The sum of 2235 and 2628 is ,4863
The sum of 3120 and 1442 is ,4562
